,task_id,participant,target,feature,answer,confidence
0,2,0,['examscore'],Studyhours,J,3
1,2,1,['examscore'],Studyhours,F,2
2,2,2,['examscore'],Studyhours,J,3
3,2,3,['examscore'],Studyhours,J,4
4,2,4,['examscore'],Studyhours,J,3
5,2,5,['examscore'],Studyhours,J,2
6,2,6,['examscore'],Studyhours,F,2
7,2,7,['examscore'],Studyhours,J,4
8,2,8,['examscore'],Studyhours,J,4
9,2,9,['examscore'],Studyhours,F,1
10,2,0,['examscore'],IQscore,F,1
11,2,1,['examscore'],IQscore,J,3
12,2,2,['examscore'],IQscore,F,4
13,2,3,['examscore'],IQscore,J,5
14,2,4,['examscore'],IQscore,J,4
15,2,5,['examscore'],IQscore,F,3
16,2,6,['examscore'],IQscore,J,3
17,2,7,['examscore'],IQscore,J,3
18,2,8,['examscore'],IQscore,J,5
19,2,9,['examscore'],IQscore,J,3
20,3,0,['sleepquality'],Age,F,4
21,3,1,['sleepquality'],Age,F,4
22,3,2,['sleepquality'],Age,F,2
23,3,3,['sleepquality'],Age,F,4
24,3,4,['sleepquality'],Age,F,2
25,3,5,['sleepquality'],Age,J,2
26,3,6,['sleepquality'],Age,F,3
27,3,7,['sleepquality'],Age,J,5
28,3,8,['sleepquality'],Age,F,4
29,3,9,['sleepquality'],Age,J,3
30,3,0,['sleepquality'],coffeeconsumption,F,4
31,3,1,['sleepquality'],coffeeconsumption,F,3
32,3,2,['sleepquality'],coffeeconsumption,F,3
33,3,3,['sleepquality'],coffeeconsumption,F,4
34,3,4,['sleepquality'],coffeeconsumption,J,2
35,3,5,['sleepquality'],coffeeconsumption,J,1
36,3,6,['sleepquality'],coffeeconsumption,F,3
37,3,7,['sleepquality'],coffeeconsumption,F,3
38,3,8,['sleepquality'],coffeeconsumption,F,4
39,3,9,['sleepquality'],coffeeconsumption,F,5
40,4,0,['productivity'],Commutetime,J,1
41,4,1,['productivity'],Commutetime,F,5
42,4,2,['productivity'],Commutetime,F,3
43,4,3,['productivity'],Commutetime,F,5
44,4,4,['productivity'],Commutetime,F,5
45,4,5,['productivity'],Commutetime,F,5
46,4,6,['productivity'],Commutetime,J,2
47,4,7,['productivity'],Commutetime,F,5
48,4,8,['productivity'],Commutetime,F,3
49,4,9,['productivity'],Commutetime,F,2
50,4,0,['productivity'],jobsatisfaction,J,4
51,4,1,['productivity'],jobsatisfaction,J,3
52,4,2,['productivity'],jobsatisfaction,F,5
53,4,3,['productivity'],jobsatisfaction,J,3
54,4,4,['productivity'],jobsatisfaction,F,1
55,4,5,['productivity'],jobsatisfaction,J,3
56,4,6,['productivity'],jobsatisfaction,J,3
57,4,7,['productivity'],jobsatisfaction,J,4
58,4,8,['productivity'],jobsatisfaction,F,3
59,4,9,['productivity'],jobsatisfaction,F,4
60,5,0,['depressionscore'],Socialmediause,J,3
61,5,1,['depressionscore'],Socialmediause,F,3
62,5,2,['depressionscore'],Socialmediause,J,4
63,5,3,['depressionscore'],Socialmediause,J,5
64,5,4,['depressionscore'],Socialmediause,J,5
65,5,5,['depressionscore'],Socialmediause,J,5
66,5,6,['depressionscore'],Socialmediause,J,3
67,5,7,['depressionscore'],Socialmediause,F,1
68,5,8,['depressionscore'],Socialmediause,J,3
69,5,9,['depressionscore'],Socialmediause,F,3
70,5,0,['depressionscore'],lonelinessscore,J,4
71,5,1,['depressionscore'],lonelinessscore,J,3
72,5,2,['depressionscore'],lonelinessscore,J,3
73,5,3,['depressionscore'],lonelinessscore,F,5
74,5,4,['depressionscore'],lonelinessscore,J,3
75,5,5,['depressionscore'],lonelinessscore,J,3
76,5,6,['depressionscore'],lonelinessscore,J,3
77,5,7,['depressionscore'],lonelinessscore,J,4
78,5,8,['depressionscore'],lonelinessscore,J,4
79,5,9,['depressionscore'],lonelinessscore,J,3
80,6,0,['healthscore'],Exerciseduration,J,3
81,6,1,['healthscore'],Exerciseduration,J,5
82,6,2,['healthscore'],Exerciseduration,J,4
83,6,3,['healthscore'],Exerciseduration,J,4
84,6,4,['healthscore'],Exerciseduration,J,2
85,6,5,['healthscore'],Exerciseduration,J,5
86,6,6,['healthscore'],Exerciseduration,J,5
87,6,7,['healthscore'],Exerciseduration,J,4
88,6,8,['healthscore'],Exerciseduration,J,4
89,6,9,['healthscore'],Exerciseduration,J,5
90,6,0,['healthscore'],dietquality,F,3
91,6,1,['healthscore'],dietquality,J,2
92,6,2,['healthscore'],dietquality,J,3
93,6,3,['healthscore'],dietquality,J,4
94,6,4,['healthscore'],dietquality,J,4
95,6,5,['healthscore'],dietquality,F,3
96,6,6,['healthscore'],dietquality,J,5
97,6,7,['healthscore'],dietquality,J,5
98,6,8,['healthscore'],dietquality,J,4
99,6,9,['healthscore'],dietquality,J,4
100,7,0,['focusability'],Noiselevel,F,5
101,7,1,['focusability'],Noiselevel,F,3
102,7,2,['focusability'],Noiselevel,J,3
103,7,3,['focusability'],Noiselevel,F,2
104,7,4,['focusability'],Noiselevel,F,4
105,7,5,['focusability'],Noiselevel,J,3
106,7,6,['focusability'],Noiselevel,J,4
107,7,7,['focusability'],Noiselevel,F,4
108,7,8,['focusability'],Noiselevel,J,5
109,7,9,['focusability'],Noiselevel,F,2
110,7,0,['focusability'],memorycapacity,F,3
111,7,1,['focusability'],memorycapacity,J,4
112,7,2,['focusability'],memorycapacity,F,2
113,7,3,['focusability'],memorycapacity,J,2
114,7,4,['focusability'],memorycapacity,J,3
115,7,5,['focusability'],memorycapacity,F,3
116,7,6,['focusability'],memorycapacity,J,2
117,7,7,['focusability'],memorycapacity,F,3
118,7,8,['focusability'],memorycapacity,J,3
119,7,9,['focusability'],memorycapacity,J,4
120,9,0,['relationshipsatisfaction'],Empathy,J,4
121,9,1,['relationshipsatisfaction'],Empathy,J,4
122,9,2,['relationshipsatisfaction'],Empathy,J,4
123,9,3,['relationshipsatisfaction'],Empathy,J,5
124,9,4,['relationshipsatisfaction'],Empathy,F,2
125,9,5,['relationshipsatisfaction'],Empathy,J,4
126,9,6,['relationshipsatisfaction'],Empathy,J,3
127,9,7,['relationshipsatisfaction'],Empathy,F,1
128,9,8,['relationshipsatisfaction'],Empathy,J,3
129,9,9,['relationshipsatisfaction'],Empathy,J,3
130,9,0,['relationshipsatisfaction'],agreeableness,J,2
131,9,1,['relationshipsatisfaction'],agreeableness,J,3
132,9,2,['relationshipsatisfaction'],agreeableness,J,4
133,9,3,['relationshipsatisfaction'],agreeableness,J,5
134,9,4,['relationshipsatisfaction'],agreeableness,J,3
135,9,5,['relationshipsatisfaction'],agreeableness,F,1
136,9,6,['relationshipsatisfaction'],agreeableness,J,4
137,9,7,['relationshipsatisfaction'],agreeableness,J,3
138,9,8,['relationshipsatisfaction'],agreeableness,J,2
139,9,9,['relationshipsatisfaction'],agreeableness,J,4
140,10,0,['happinessscore'],Extraversion,J,3
141,10,1,['happinessscore'],Extraversion,J,3
142,10,2,['happinessscore'],Extraversion,F,4
143,10,3,['happinessscore'],Extraversion,J,4
144,10,4,['happinessscore'],Extraversion,J,4
145,10,5,['happinessscore'],Extraversion,J,4
146,10,6,['happinessscore'],Extraversion,F,4
147,10,7,['happinessscore'],Extraversion,J,4
148,10,8,['happinessscore'],Extraversion,J,3
149,10,9,['happinessscore'],Extraversion,J,4
150,10,0,['happinessscore'],socialnetworksize,J,3
151,10,1,['happinessscore'],socialnetworksize,J,4
152,10,2,['happinessscore'],socialnetworksize,J,3
153,10,3,['happinessscore'],socialnetworksize,J,3
154,10,4,['happinessscore'],socialnetworksize,J,5
155,10,5,['happinessscore'],socialnetworksize,F,2
156,10,6,['happinessscore'],socialnetworksize,J,2
157,10,7,['happinessscore'],socialnetworksize,F,3
158,10,8,['happinessscore'],socialnetworksize,J,3
159,10,9,['happinessscore'],socialnetworksize,J,4
160,11,0,['lifesatisfaction'],Jobprestige,F,5
161,11,1,['lifesatisfaction'],Jobprestige,J,2
162,11,2,['lifesatisfaction'],Jobprestige,J,2
163,11,3,['lifesatisfaction'],Jobprestige,F,5
164,11,4,['lifesatisfaction'],Jobprestige,J,4
165,11,5,['lifesatisfaction'],Jobprestige,J,3
166,11,6,['lifesatisfaction'],Jobprestige,J,5
167,11,7,['lifesatisfaction'],Jobprestige,J,4
168,11,8,['lifesatisfaction'],Jobprestige,J,4
169,11,9,['lifesatisfaction'],Jobprestige,J,5
170,11,0,['lifesatisfaction'],educationlevel,J,4
171,11,1,['lifesatisfaction'],educationlevel,J,5
172,11,2,['lifesatisfaction'],educationlevel,F,4
173,11,3,['lifesatisfaction'],educationlevel,J,3
174,11,4,['lifesatisfaction'],educationlevel,J,3
175,11,5,['lifesatisfaction'],educationlevel,J,3
176,11,6,['lifesatisfaction'],educationlevel,J,3
177,11,7,['lifesatisfaction'],educationlevel,J,4
178,11,8,['lifesatisfaction'],educationlevel,J,4
179,11,9,['lifesatisfaction'],educationlevel,J,5
180,12,0,['wellbeingscore'],Positiveaffect,J,3
181,12,1,['wellbeingscore'],Positiveaffect,F,4
182,12,2,['wellbeingscore'],Positiveaffect,J,3
183,12,3,['wellbeingscore'],Positiveaffect,J,4
184,12,4,['wellbeingscore'],Positiveaffect,J,3
185,12,5,['wellbeingscore'],Positiveaffect,F,4
186,12,6,['wellbeingscore'],Positiveaffect,J,3
187,12,7,['wellbeingscore'],Positiveaffect,J,4
188,12,8,['wellbeingscore'],Positiveaffect,J,3
189,12,9,['wellbeingscore'],Positiveaffect,J,2
190,12,0,['wellbeingscore'],resilience,J,4
191,12,1,['wellbeingscore'],resilience,J,4
192,12,2,['wellbeingscore'],resilience,J,3
193,12,3,['wellbeingscore'],resilience,J,4
194,12,4,['wellbeingscore'],resilience,J,4
195,12,5,['wellbeingscore'],resilience,J,2
196,12,6,['wellbeingscore'],resilience,J,4
197,12,7,['wellbeingscore'],resilience,J,2
198,12,8,['wellbeingscore'],resilience,F,5
199,12,9,['wellbeingscore'],resilience,J,5
200,13,0,['anxietylevel'],Negativeaffect,J,4
201,13,1,['anxietylevel'],Negativeaffect,F,2
202,13,2,['anxietylevel'],Negativeaffect,F,3
203,13,3,['anxietylevel'],Negativeaffect,J,2
