,participant,trial,task_id,feature1_name,feature2_name,target_name,feature1_value_F,feature2_value_F,feature1_value_J,feature2_value_J,target_value_F,target_value_J,answer
0,0,0,87,Memorycapacity,knowledgeaccumulation,academicachievement,34.0,97.0,91.0,44.0,78.0,64.0,F
1,0,1,554,Practicetime,talent,musicskill,2.9,5.7,4.7,5.6,6.3,7.1,J
2,0,2,1223,Medicationdose,drugsensitivity,treatmentefficacy,0.96,0.5,0.88,0.15,0.6,0.23,J
3,0,3,244,Classattendance,studyduration,examscore,0.92,6.44,0.73,3.81,96.81,88.32,F
4,0,4,41,Attentiontodetail,precisionabilities,accuracylevel,0.22,0.45,0.12,0.55,0.37,0.39,F
5,0,5,3018,Pay,benefits,jobsatisfaction,33000.0,23000.0,21000.0,12500.0,88.0,64.0,F
6,0,6,3014,Commutedistance,trafficlevel,traveltime,7.8,8.3,4.1,2.9,22.5,11.7,F
7,0,7,3050,Cityplanning,regulations,livability,0.45,0.38,0.29,0.37,0.52,0.39,F
8,0,8,55,Practicehours,tutorsupport,skilllevelattained,8.0,4.0,6.0,5.0,11.0,10.0,J
9,0,9,1050,Yearsexperience,educationlevel,salary,7.0,18.0,14.0,19.0,55000.0,85000.0,J
10,0,10,2775,Workerexperience,workereducation,productivity,9.0,17.0,6.0,16.0,51.0,44.0,F
11,0,11,931,NewsSource,MediaBias,VoterOpinion,0.92,0.47,0.21,0.37,0.78,0.29,F
12,0,12,3319,Diet,genetics,bodyweight,43.0,75.0,77.0,66.0,155.0,158.0,F
13,0,13,772,Leadership,morale,productivity,0.47,0.68,0.57,0.84,0.61,0.65,J
14,0,14,641,Diet,genetics,diseaserisk,0.51,0.83,0.65,0.39,0.77,0.57,J
15,0,15,461,Training,Experience,Salary,16.0,22.0,7.0,30.0,85000.0,60000.0,F
16,0,16,1859,Diet,genetics,lifespan,0.71,0.62,0.72,0.93,72.08,76.41,J
17,0,17,484,TeacherExperience,StudentEnthusiasm,ExamImprovement,5.0,7.0,11.0,3.0,12.0,9.0,F
18,0,18,649,Numberofemployees,officespace,productivityrating,223.0,1900.0,302.0,2300.0,86.0,91.0,J
19,0,19,811,Effort,guidance,improvement,0.11,0.42,0.91,0.13,0.22,0.78,J
20,0,20,307,Socialconnection,supportsystems,mentalhealth,3.8,4.5,5.7,6.3,4.4,6.1,J
21,0,21,685,Studyhabits,classengagement,grades,0.37,0.42,0.48,0.65,64.0,72.0,J
22,0,22,313,Policetraining,communityrelations,publicsafety,0.26,0.43,0.91,0.34,0.33,0.55,J
23,0,23,40,Orderliness,organizationabilities,tidinessscore,0.63,0.44,0.48,0.32,0.61,0.47,F
24,0,24,440,Ingredientratios,cookingmethod,foodtaste,0.33,0.92,0.31,0.82,6.11,5.92,F
25,0,25,15,Stresslevel,leisuretime,burnoutrisk,8.7,9.1,2.3,7.8,94.3,64.2,F
26,0,26,918,HouseSize,Furnishings,PropertyValue,1500.0,9800.0,2150.0,12100.0,560000.0,720000.0,J
27,0,27,338,Informationquality,medialiteracy,informedpublic,0.42,0.91,0.82,0.37,0.58,0.71,F
