,task_id,participant,target,features,answer,confidence
0,2,0,['examscore'],"('Studyhours', 'IQscore')",J,4
1,2,1,['examscore'],"('Studyhours', 'IQscore')",F,4
2,2,2,['examscore'],"('Studyhours', 'IQscore')",J,2
3,2,3,['examscore'],"('Studyhours', 'IQscore')",J,2
4,2,4,['examscore'],"('Studyhours', 'IQscore')",J,3
5,2,5,['examscore'],"('Studyhours', 'IQscore')",J,4
6,2,6,['examscore'],"('Studyhours', 'IQscore')",J,3
7,2,7,['examscore'],"('Studyhours', 'IQscore')",F,4
8,2,8,['examscore'],"('Studyhours', 'IQscore')",F,5
9,2,9,['examscore'],"('Studyhours', 'IQscore')",F,3
10,3,0,['sleepquality'],"('Age', 'coffeeconsumption')",J,3
11,3,1,['sleepquality'],"('Age', 'coffeeconsumption')",F,2
12,3,2,['sleepquality'],"('Age', 'coffeeconsumption')",F,5
13,3,3,['sleepquality'],"('Age', 'coffeeconsumption')",F,2
14,3,4,['sleepquality'],"('Age', 'coffeeconsumption')",F,4
15,3,5,['sleepquality'],"('Age', 'coffeeconsumption')",J,5
16,3,6,['sleepquality'],"('Age', 'coffeeconsumption')",J,5
17,3,7,['sleepquality'],"('Age', 'coffeeconsumption')",J,4
18,3,8,['sleepquality'],"('Age', 'coffeeconsumption')",J,3
19,3,9,['sleepquality'],"('Age', 'coffeeconsumption')",J,2
20,4,0,['productivity'],"('Commutetime', 'jobsatisfaction')",J,4
21,4,1,['productivity'],"('Commutetime', 'jobsatisfaction')",J,3
22,4,2,['productivity'],"('Commutetime', 'jobsatisfaction')",J,3
23,4,3,['productivity'],"('Commutetime', 'jobsatisfaction')",F,4
24,4,4,['productivity'],"('Commutetime', 'jobsatisfaction')",F,4
25,4,5,['productivity'],"('Commutetime', 'jobsatisfaction')",J,4
26,4,6,['productivity'],"('Commutetime', 'jobsatisfaction')",F,4
27,4,7,['productivity'],"('Commutetime', 'jobsatisfaction')",J,4
28,4,8,['productivity'],"('Commutetime', 'jobsatisfaction')",F,3
29,4,9,['productivity'],"('Commutetime', 'jobsatisfaction')",F,3
30,5,0,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,4
31,5,1,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,2
32,5,2,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,4
33,5,3,['depressionscore'],"('Socialmediause', 'lonelinessscore')",F,4
34,5,4,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,4
35,5,5,['depressionscore'],"('Socialmediause', 'lonelinessscore')",F,4
36,5,6,['depressionscore'],"('Socialmediause', 'lonelinessscore')",F,3
37,5,7,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,3
38,5,8,['depressionscore'],"('Socialmediause', 'lonelinessscore')",F,4
39,5,9,['depressionscore'],"('Socialmediause', 'lonelinessscore')",J,4
40,6,0,['healthscore'],"('Exerciseduration', 'dietquality')",F,3
41,6,1,['healthscore'],"('Exerciseduration', 'dietquality')",J,4
42,6,2,['healthscore'],"('Exerciseduration', 'dietquality')",J,5
43,6,3,['healthscore'],"('Exerciseduration', 'dietquality')",J,4
44,6,4,['healthscore'],"('Exerciseduration', 'dietquality')",F,3
45,6,5,['healthscore'],"('Exerciseduration', 'dietquality')",F,4
46,6,6,['healthscore'],"('Exerciseduration', 'dietquality')",J,3
47,6,7,['healthscore'],"('Exerciseduration', 'dietquality')",J,5
48,6,8,['healthscore'],"('Exerciseduration', 'dietquality')",J,3
49,6,9,['healthscore'],"('Exerciseduration', 'dietquality')",F,2
50,7,0,['focusability'],"('Noiselevel', 'memorycapacity')",F,4
51,7,1,['focusability'],"('Noiselevel', 'memorycapacity')",J,3
52,7,2,['focusability'],"('Noiselevel', 'memorycapacity')",J,4
53,7,3,['focusability'],"('Noiselevel', 'memorycapacity')",F,3
54,7,4,['focusability'],"('Noiselevel', 'memorycapacity')",J,5
55,7,5,['focusability'],"('Noiselevel', 'memorycapacity')",F,2
56,7,6,['focusability'],"('Noiselevel', 'memorycapacity')",F,3
57,7,7,['focusability'],"('Noiselevel', 'memorycapacity')",J,3
58,7,8,['focusability'],"('Noiselevel', 'memorycapacity')",F,5
59,7,9,['focusability'],"('Noiselevel', 'memorycapacity')",J,3
60,9,0,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",F,5
61,9,1,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",F,4
62,9,2,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,2
63,9,3,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,4
64,9,4,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,4
65,9,5,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,4
66,9,6,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,3
67,9,7,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",F,4
68,9,8,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,3
69,9,9,['relationshipsatisfaction'],"('Empathy', 'agreeableness')",J,2
70,10,0,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,3
71,10,1,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,4
72,10,2,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,4
73,10,3,['happinessscore'],"('Extraversion', 'socialnetworksize')",F,2
74,10,4,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,2
75,10,5,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,4
76,10,6,['happinessscore'],"('Extraversion', 'socialnetworksize')",F,4
77,10,7,['happinessscore'],"('Extraversion', 'socialnetworksize')",F,5
78,10,8,['happinessscore'],"('Extraversion', 'socialnetworksize')",F,2
79,10,9,['happinessscore'],"('Extraversion', 'socialnetworksize')",J,4
80,11,0,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",J,2
81,11,1,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",J,5
82,11,2,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",J,5
83,11,3,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",F,4
84,11,4,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",J,4
85,11,5,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",F,5
86,11,6,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",F,2
87,11,7,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",F,3
88,11,8,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",J,4
89,11,9,['lifesatisfaction'],"('Jobprestige', 'educationlevel')",F,4
90,12,0,['wellbeingscore'],"('Positiveaffect', 'resilience')",F,3
91,12,1,['wellbeingscore'],"('Positiveaffect', 'resilience')",J,4
92,12,2,['wellbeingscore'],"('Positiveaffect', 'resilience')",F,4
93,12,3,['wellbeingscore'],"('Positiveaffect', 'resilience')",F,2
94,12,4,['wellbeingscore'],"('Positiveaffect', 'resilience')",F,2
95,12,5,['wellbeingscore'],"('Positiveaffect', 'resilience')",J,4
96,12,6,['wellbeingscore'],"('Positiveaffect', 'resilience')",J,2
97,12,7,['wellbeingscore'],"('Positiveaffect', 'resilience')",F,3
98,12,8,['wellbeingscore'],"('Positiveaffect', 'resilience')",J,5
99,12,9,['wellbeingscore'],"('Positiveaffect', 'resilience')",J,3
100,13,0,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,3
101,13,1,['anxietylevel'],"('Negativeaffect', 'copingabilities')",F,4
102,13,2,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,3
103,13,3,['anxietylevel'],"('Negativeaffect', 'copingabilities')",F,3
104,13,4,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,3
105,13,5,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,3
106,13,6,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,3
107,13,7,['anxietylevel'],"('Negativeaffect', 'copingabilities')",J,2
108,13,8,['anxietylevel'],"('Negativeaffect', 'copingabilities')",F,4
109,13,9,['anxietylevel'],"('Negativeaffect', 'copingabilities')",F,5
110,14,0,['confidencelevel'],"('esteem', 'socialsupport')",F,3
111,14,1,['confidencelevel'],"('esteem', 'socialsupport')",F,3
112,14,2,['confidencelevel'],"('esteem', 'socialsupport')",F,3
113,14,3,['confidencelevel'],"('esteem', 'socialsupport')",F,3
114,14,4,['confidencelevel'],"('esteem', 'socialsupport')",F,2
115,14,5,['confidencelevel'],"('esteem', 'socialsupport')",F,3
116,14,6,['confidencelevel'],"('esteem', 'socialsupport')",J,2
117,14,7,['confidencelevel'],"('esteem', 'socialsupport')",F,4
118,14,8,['confidencelevel'],"('esteem', 'socialsupport')",J,3
119,14,9,['confidencelevel'],"('esteem', 'socialsupport')",F,3
120,15,0,['burnoutrisk'],"('Stresslevel', 'leisuretime')",J,5
121,15,1,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,4
122,15,2,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,2
123,15,3,['burnoutrisk'],"('Stresslevel', 'leisuretime')",J,5
124,15,4,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,3
125,15,5,['burnoutrisk'],"('Stresslevel', 'leisuretime')",J,3
126,15,6,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,4
127,15,7,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,3
128,15,8,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,3
129,15,9,['burnoutrisk'],"('Stresslevel', 'leisuretime')",F,4
130,18,0,['meaninginlife'],"('Optimism', 'purpose')",F,2
131,18,1,['meaninginlife'],"('Optimism', 'purpose')",J,4
132,18,2,['meaninginlife'],"('Optimism', 'purpose')",J,3
133,18,3,['meaninginlife'],"('Optimism', 'purpose')",J,3
134,18,4,['meaninginlife'],"('Optimism', 'purpose')",J,4
135,18,5,['meaninginlife'],"('Optimism', 'purpose')",F,5
136,18,6,['meaninginlife'],"('Optimism', 'purpose')",J,4
137,18,7,['meaninginlife'],"('Optimism', 'purpose')",F,3
138,18,8,['meaninginlife'],"('Optimism', 'purpose')",F,5
139,18,9,['meaninginlife'],"('Optimism', 'purpose')",F,2
140,19,0,['communityengagement'],"('Altruism', 'volunteerhours')",F,2
141,19,1,['communityengagement'],"('Altruism', 'volunteerhours')",F,4
142,19,2,['communityengagement'],"('Altruism', 'volunteerhours')",J,4
143,19,3,['communityengagement'],"('Altruism', 'volunteerhours')",J,5
144,19,4,['communityengagement'],"('Altruism', 'volunteerhours')",F,4
145,19,5,['communityengagement'],"('Altruism', 'volunteerhours')",J,4
146,19,6,['communityengagement'],"('Altruism', 'volunteerhours')",J,4
147,19,7,['communityengagement'],"('Altruism', 'volunteerhours')",F,2
148,19,8,['communityengagement'],"('Altruism', 'volunteerhours')",F,2
149,19,9,['communityengagement'],"('Altruism', 'volunteerhours')",F,4
150,20,0,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,2
151,20,1,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,3
152,20,2,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,2
153,20,3,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,4
154,20,4,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,3
155,20,5,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,5
156,20,6,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,3
157,20,7,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,4
158,20,8,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",J,4
159,20,9,['wisdomscore'],"('Curiosity', 'knowledgeseeking')",F,3
160,24,0,['skilledplaying'],"('Musicalability', 'practiceroutines')",J,4
161,24,1,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,4
162,24,2,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,5
163,24,3,['skilledplaying'],"('Musicalability', 'practiceroutines')",J,4
164,24,4,['skilledplaying'],"('Musicalability', 'practiceroutines')",J,3
165,24,5,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,4
166,24,6,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,2
167,24,7,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,3
168,24,8,['skilledplaying'],"('Musicalability', 'practiceroutines')",F,4
