task_id,answer_j,confidence,neg_entropy
471,0.1,3.7,-0.3250829733914482
1278,0.1,4.0,-0.3250829733914482
559,0.1,3.6,-0.3250829733914482
1847,0.1,3.6,-0.3250829733914482
980,0.1,3.8,-0.3250829733914482
40,0.9,4.2,-0.3250829733914482
336,0.9,3.6,-0.3250829733914482
718,0.1,3.6,-0.3250829733914482
812,0.8,3.8,-0.5004024235381879
911,0.2,3.6,-0.5004024235381879
130,0.2,3.6,-0.5004024235381879
823,0.8,3.9,-0.5004024235381879
26,0.2,3.6,-0.5004024235381879
1063,0.2,3.6,-0.5004024235381879
687,0.8,3.6,-0.5004024235381879
3118,0.2,3.9,-0.5004024235381879
294,0.3,3.7,-0.6108643020548935
242,0.3,3.8,-0.6108643020548935
376,0.3,3.6,-0.6108643020548935
361,0.3,3.6,-0.6108643020548935
1122,0.3,3.6,-0.6108643020548935
377,0.3,3.9,-0.6108643020548935
463,0.3,4.0,-0.6108643020548935
702,0.3,3.7,-0.6108643020548935
494,0.3,3.7,-0.6108643020548935
1082,0.3,3.6,-0.6108643020548935
608,0.7,4.0,-0.6108643020548935
61,0.3,3.6,-0.6108643020548935
172,0.3,3.6,-0.6108643020548935
135,0.3,3.8,-0.6108643020548935
15,0.3,3.6,-0.6108643020548935
24,0.3,3.7,-0.6108643020548935
27,0.3,3.7,-0.6108643020548935
87,0.7,3.8,-0.6108643020548935
83,0.3,3.8,-0.6108643020548935
2930,0.7,3.6,-0.6108643020548935
65,0.3,4.0,-0.6108643020548935
649,0.4,3.6,-0.6730116670092565
3153,0.4,3.6,-0.6730116670092565
681,0.4,3.8,-0.6730116670092565
685,0.6,3.8,-0.6730116670092565
3014,0.4,3.6,-0.6730116670092565
772,0.4,4.0,-0.6730116670092565
2819,0.4,3.7,-0.6730116670092565
808,0.6,3.8,-0.6730116670092565
1118,0.4,3.7,-0.6730116670092565
811,0.4,3.9,-0.6730116670092565
1888,0.4,3.7,-0.6730116670092565
853,0.4,3.6,-0.6730116670092565
1767,0.4,3.8,-0.6730116670092565
1280,0.6,4.1,-0.6730116670092565
1050,0.4,4.0,-0.6730116670092565
1224,0.6,3.7,-0.6730116670092565
1145,0.6,3.6,-0.6730116670092565
491,0.4,3.6,-0.6730116670092565
3320,0.4,4.1,-0.6730116670092565
641,0.6,3.7,-0.6730116670092565
338,0.4,3.7,-0.6730116670092565
6,0.6,3.6,-0.6730116670092565
50,0.4,3.8,-0.6730116670092565
67,0.4,3.6,-0.6730116670092565
68,0.6,3.8,-0.6730116670092565
80,0.6,3.8,-0.6730116670092565
88,0.4,3.8,-0.6730116670092565
145,0.4,3.6,-0.6730116670092565
175,0.6,4.0,-0.6730116670092565
201,0.6,4.0,-0.6730116670092565
259,0.4,3.8,-0.6730116670092565
331,0.4,3.9,-0.6730116670092565
262,0.4,4.1,-0.6730116670092565
359,0.4,3.6,-0.6730116670092565
534,0.4,3.6,-0.6730116670092565
433,0.4,3.6,-0.6730116670092565
513,0.4,3.9,-0.6730116670092565
351,0.4,4.1,-0.6730116670092565
5,0.6,3.6,-0.6730116670092565
835,0.5,3.9,-0.6931471805599453
1866,0.5,3.8,-0.6931471805599453
3158,0.5,3.7,-0.6931471805599453
544,0.5,3.6,-0.6931471805599453
11,0.5,3.8,-0.6931471805599453
54,0.5,3.6,-0.6931471805599453
2863,0.5,3.7,-0.6931471805599453
695,0.5,3.6,-0.6931471805599453
1884,0.5,4.0,-0.6931471805599453
468,0.5,3.6,-0.6931471805599453
91,0.5,3.6,-0.6931471805599453
723,0.5,3.8,-0.6931471805599453
146,0.5,3.7,-0.6931471805599453
465,0.5,3.6,-0.6931471805599453
375,0.5,3.9,-0.6931471805599453
679,0.5,3.7,-0.6931471805599453
278,0.5,3.8,-0.6931471805599453
295,0.5,3.6,-0.6931471805599453
307,0.5,3.9,-0.6931471805599453
4,0.5,3.6,-0.6931471805599453
391,0.0,3.7,
