prolific_id,condition_group,source_file,question_number,target,target_value,option1,option2,selected_option,button_pressed,optionA_trial_id,optionA_task_id,optionA_values,optionA_target_value,optionA_value1,optionA_value2,optionB_trial_id,optionB_task_id,optionB_values,optionB_target_value,optionB_value1,optionB_value2
UNKNOWN,ranking,comp-result_1229035_data.json,1,Battery Life,18,Phone Battery Capacity,Screen Size,OptionB,J,1,28,"4000.0, 6.1",18,4000.0,6.1,13,28,"5000.0, 6.1",23,5000.0,6.1
UNKNOWN,ranking,comp-result_1229035_data.json,2,Cooking time (minutes),18,Number of ingredients,Prep time (minutes),OptionA,F,5,140,"3.0, 12",18,3.0,12.0,1,140,"5.0, 10",25,5.0,10.0
UNKNOWN,ranking,comp-result_1229035_data.json,3,House Price,400,House Size,Housing Age,OptionA,F,4,99,"250.0, 10",400,250.0,10.0,9,99,"180.0, 12",300,180.0,12.0
UNKNOWN,ranking,comp-result_1229035_data.json,4,Reading Enjoyment,16,Book Length,Author Fame,OptionB,J,18,131,"1200.0, 0.25",16,1200.0,0.25,7,131,"600.0, 5.0",10,600.0,5.0
UNKNOWN,ranking,comp-result_1229035_data.json,5,Exam score,83,Study hours,Intelligence score,OptionA,F,4,122,"5.0, 70.0",83,5.0,70.0,4,122,"5.0, 70.0",83,5.0,70.0
UNKNOWN,ranking,comp-result_1229035_data.json,6,Mobile Phone Performance,95,Mobile Phone RAM,Mobile Phone Battery Size,OptionA,F,14,40,"18.0, 2900",95,18.0,2900.0,6,40,"10.0, 3300",75,10.0,3300.0
UNKNOWN,ranking,comp-result_1229035_data.json,7,Comfort level,8,Room size,Room furniture,OptionB,J,20,60,"17.0, 3.0",8,17.0,3.0,6,60,"8.0, 4.0",4,8.0,4.0
UNKNOWN,ranking,comp-result_1229035_data.json,8,Wait Time (minutes),35,Restaurant Size,Restaurant Reviews,OptionA,F,2,74,"120.0, 4.2",35,120.0,4.2,20,74,"115.0, 4.1",33,115.0,4.1
UNKNOWN,ranking,comp-result_1229035_data.json,9,Phone Performance Score,9.6,Phone Processor Speed,Phone Battery Capacity,OptionA,F,15,10,"5.0, 2500",9.6,5.0,2500.0,12,10,"1.5, 6500",7.8,1.5,6500.0
UNKNOWN,ranking,comp-result_1229035_data.json,10,Engagement rate (%),5,Number of followers (count),Time posted (hours ago),OptionB,J,1,98,"1000.0, 2",5,1000.0,2.0,6,98,"1100.0, 2",5,1100.0,2.0
UNKNOWN,ranking,comp-result_1229035_data.json,11,Exam Score,87,Study Time (hours),Intelligence Score,OptionB,J,20,157,"6.0, 75.0",87,6.0,75.0,1,157,"4.0, 80.0",75,4.0,80.0
UNKNOWN,ranking,comp-result_1229035_data.json,12,Taste rating (1-10),4,Number of ingredients (count),Prep time (minutes),OptionA,F,11,97,"20.0, 10",4,20.0,10.0,19,97,"8.0, 45",4,8.0,45.0
UNKNOWN,ranking,comp-result_1229035_data.json,13,Mood Score (1-10),8,Hours of Sleep,Screen Time (hours),OptionB,J,2,109,"7.0, 3",8,7.0,3.0,7,109,"9.0, 1",10,9.0,1.0
