,Feature 1 name,Feature 2 name,Feature 3 name,Object 1 Feature 1 value,Object 1 Feature 2 value,Object 1 Feature 3 value,Object 2 Feature 1 value,Object 2 Feature 2 value,Object 2 Feature 3 value
0,Car Engine Size,Car Weight,Car Speed,2.0,1400.0,120.0,1.8,1500.0,110.0
1,Car Engine Size,Car Weight,Car Speed,3.0,1600.0,140.0,2.5,1800.0,130.0
2,Car Engine Size,Car Weight,Car Speed,2.5,1300.0,135.0,2.2,1400.0,125.0
3,Car Engine Size,Car Weight,Car Speed,1.6,1200.0,100.0,1.8,1300.0,105.0
4,Car Engine Size,Car Weight,Car Speed,2.4,1500.0,130.0,2.0,1600.0,120.0
5,Car Engine Size,Car Weight,Car Speed,3.5,1700.0,150.0,3.2,1800.0,145.0
6,Car Engine Size,Car Weight,Car Speed,2.8,1400.0,138.0,2.6,1500.0,135.0
7,Car Engine Size,Car Weight,Car Speed,1.8,1350.0,110.0,2.0,1400.0,115.0
8,Car Engine Size,Car Weight,Car Speed,2.2,1250.0,120.0,2.0,1300.0,115.0
9,Car Engine Size,Car Weight,Car Speed,3.0,1550.0,145.0,2.8,1600.0,140.0
10,Book Page Count,Book Reading Level,Book Knowledge Content,300.0,3.0,7.0,250.0,4.0,6.0
11,Book Page Count,Book Reading Level,Book Knowledge Content,400.0,5.0,9.0,350.0,6.0,8.0
12,Book Page Count,Book Reading Level,Book Knowledge Content,200.0,2.0,5.0,220.0,3.0,6.0
13,Book Page Count,Book Reading Level,Book Knowledge Content,500.0,4.0,8.0,480.0,5.0,9.0
14,Book Page Count,Book Reading Level,Book Knowledge Content,350.0,3.0,6.0,330.0,4.0,7.0
15,Book Page Count,Book Reading Level,Book Knowledge Content,280.0,2.0,4.0,300.0,3.0,5.0
16,Book Page Count,Book Reading Level,Book Knowledge Content,450.0,5.0,10.0,420.0,6.0,9.0
17,Book Page Count,Book Reading Level,Book Knowledge Content,220.0,3.0,5.0,240.0,4.0,6.0
18,Book Page Count,Book Reading Level,Book Knowledge Content,380.0,4.0,8.0,360.0,5.0,9.0
19,Book Page Count,Book Reading Level,Book Knowledge Content,270.0,2.0,4.0,290.0,3.0,5.0
20,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,12.0,3000.0,8.0,16.0,2800.0,9.0
21,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,20.0,4000.0,9.0,18.0,4200.0,9.0
22,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,8.0,2500.0,7.0,10.0,2700.0,7.0
23,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,16.0,3500.0,8.0,14.0,3700.0,8.0
24,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,10.0,3200.0,7.0,12.0,3300.0,8.0
25,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,24.0,4500.0,10.0,22.0,4700.0,10.0
26,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,14.0,3100.0,8.0,16.0,3200.0,9.0
27,Phone Camera Megapixels,Phone Battery Capacity,Phone Photo Quality,6.0,2800.0,6.0,8.0,2900.0,7.0
