,Feature 1 name,Feature 2 name,Feature 3 name,Object 1 Feature 1 value,Object 1 Feature 2 value,Object 1 Feature 3 value,Object 2 Feature 1 value,Object 2 Feature 2 value,Object 2 Feature 3 value
0,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),3.0,6,7.0,5.0,8,6.0
1,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),2.0,9,5.0,4.0,7,6.0
2,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),6.0,3,8.0,4.0,5,7.0
3,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),5.0,2,6.0,3.0,4,5.0
4,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),7.0,4,9.0,5.0,6,8.0
5,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),4.0,5,6.0,6.0,3,7.0
6,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),3.0,7,5.0,5.0,5,6.0
7,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),6.0,2,7.0,4.0,4,6.0
8,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),5.0,8,6.0,7.0,6,5.0
9,Book Thickness (cm),Author Fame (1-10),Enjoyment (1-10),4.0,3,5.0,6.0,5,6.0
10,Exercise Duration (min),Rest Time (min),Fatigue (1-10),30.0,10,4.0,20.0,15,3.0
11,Exercise Duration (min),Rest Time (min),Fatigue (1-10),40.0,5,6.0,30.0,10,4.0
12,Exercise Duration (min),Rest Time (min),Fatigue (1-10),25.0,20,3.0,35.0,5,5.0
13,Exercise Duration (min),Rest Time (min),Fatigue (1-10),50.0,10,7.0,40.0,15,6.0
14,Exercise Duration (min),Rest Time (min),Fatigue (1-10),35.0,15,5.0,25.0,10,4.0
15,Exercise Duration (min),Rest Time (min),Fatigue (1-10),20.0,5,3.0,30.0,20,2.0
16,Exercise Duration (min),Rest Time (min),Fatigue (1-10),45.0,10,6.0,55.0,15,7.0
17,Exercise Duration (min),Rest Time (min),Fatigue (1-10),30.0,20,4.0,40.0,10,5.0
18,Exercise Duration (min),Rest Time (min),Fatigue (1-10),55.0,5,8.0,45.0,15,7.0
19,Exercise Duration (min),Rest Time (min),Fatigue (1-10),40.0,20,5.0,30.0,10,4.0
20,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1200.0,100,15.0,1400.0,120,13.0
21,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1300.0,90,14.0,1100.0,110,16.0
22,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1500.0,150,11.0,1200.0,140,13.0
23,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1100.0,110,16.0,1300.0,130,14.0
24,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1400.0,130,12.0,1200.0,120,14.0
25,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1600.0,160,10.0,1300.0,150,12.0
26,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1200.0,140,13.0,1400.0,160,11.0
27,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1300.0,120,14.0,1100.0,110,16.0
28,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1500.0,140,12.0,1200.0,130,14.0
29,Car Weight (kg),Engine Power (hp),Fuel Efficiency (km/L),1400.0,150,11.0,1600.0,170,9.0
30,Recipe Servings,Spice Level (1-10),Taste (1-10),4.0,7,8.0,6.0,5,7.0
31,Recipe Servings,Spice Level (1-10),Taste (1-10),6.0,9,7.0,4.0,6,8.0
32,Recipe Servings,Spice Level (1-10),Taste (1-10),3.0,5,6.0,5.0,7,7.0
33,Recipe Servings,Spice Level (1-10),Taste (1-10),5.0,8,7.0,7.0,6,6.0
34,Recipe Servings,Spice Level (1-10),Taste (1-10),7.0,6,8.0,5.0,8,7.0
35,Recipe Servings,Spice Level (1-10),Taste (1-10),4.0,4,6.0,6.0,6,7.0
36,Recipe Servings,Spice Level (1-10),Taste (1-10),6.0,7,7.0,4.0,5,8.0
37,Recipe Servings,Spice Level (1-10),Taste (1-10),5.0,9,6.0,7.0,7,5.0
38,Recipe Servings,Spice Level (1-10),Taste (1-10),3.0,6,5.0,5.0,8,6.0
