,Feature 1 name,Feature 2 name,Feature 3 name,Object 1 Feature 1 value,Object 1 Feature 2 value,Object 1 Feature 3 value,Object 2 Feature 1 value,Object 2 Feature 2 value,Object 2 Feature 3 value
0,Engine Horsepower,Weight (kg),Speed (mph),300.0,1500.0,120.0,250.0,1400.0,110.0
1,Engine Horsepower,Weight (kg),Speed (mph),400.0,1800.0,130.0,350.0,1700.0,125.0
2,Engine Horsepower,Weight (kg),Speed (mph),200.0,1200.0,100.0,180.0,1100.0,95.0
3,Engine Horsepower,Weight (kg),Speed (mph),350.0,1600.0,125.0,300.0,1500.0,120.0
4,Engine Horsepower,Weight (kg),Speed (mph),450.0,2000.0,135.0,400.0,1900.0,130.0
5,Engine Horsepower,Weight (kg),Speed (mph),250.0,1300.0,115.0,200.0,1200.0,110.0
6,Engine Horsepower,Weight (kg),Speed (mph),300.0,1400.0,120.0,280.0,1300.0,118.0
7,Engine Horsepower,Weight (kg),Speed (mph),500.0,2200.0,140.0,450.0,2100.0,138.0
8,Engine Horsepower,Weight (kg),Speed (mph),320.0,1500.0,122.0,300.0,1400.0,120.0
9,Engine Horsepower,Weight (kg),Speed (mph),400.0,1700.0,130.0,380.0,1600.0,128.0
10,Study Time (hours),Difficulty Level,Exam Score,5.0,3.0,70.0,4.0,4.0,68.0
11,Study Time (hours),Difficulty Level,Exam Score,6.0,2.0,75.0,5.0,3.0,73.0
12,Study Time (hours),Difficulty Level,Exam Score,4.0,4.0,65.0,3.0,5.0,62.0
13,Study Time (hours),Difficulty Level,Exam Score,7.0,1.0,85.0,6.0,2.0,83.0
14,Study Time (hours),Difficulty Level,Exam Score,5.0,5.0,60.0,4.0,6.0,58.0
15,Study Time (hours),Difficulty Level,Exam Score,8.0,2.0,88.0,7.0,3.0,86.0
16,Study Time (hours),Difficulty Level,Exam Score,6.0,3.0,78.0,5.0,4.0,75.0
17,Study Time (hours),Difficulty Level,Exam Score,4.0,2.0,72.0,3.0,3.0,70.0
