Feature 1 name,Feature 1 value,Feature 2 name,Feature 2 value,Target name,Target value,task_id,trial_id
Hours of Practice,10.0,Number of Lessons,5.0,Performance Score (1-100),70.0,51,1
Hours of Practice,15.0,Number of Lessons,6.0,Performance Score (1-100),75.0,51,2
Hours of Practice,20.0,Number of Lessons,8.0,Performance Score (1-100),80.0,51,3
Hours of Practice,25.0,Number of Lessons,9.0,Performance Score (1-100),85.0,51,4
Hours of Practice,5.0,Number of Lessons,3.0,Performance Score (1-100),50.0,51,5
Hours of Practice,8.0,Number of Lessons,4.0,Performance Score (1-100),55.0,51,6
Hours of Practice,15.0,Number of Lessons,7.0,Performance Score (1-100),75.0,51,7
Hours of Practice,20.0,Number of Lessons,8.0,Performance Score (1-100),80.0,51,8
Hours of Practice,25.0,Number of Lessons,10.0,Performance Score (1-100),85.0,51,9
Hours of Practice,30.0,Number of Lessons,11.0,Performance Score (1-100),90.0,51,10
Hours of Practice,8.0,Number of Lessons,4.0,Performance Score (1-100),60.0,51,11
Hours of Practice,12.0,Number of Lessons,5.0,Performance Score (1-100),65.0,51,12
Hours of Practice,12.0,Number of Lessons,6.0,Performance Score (1-100),70.0,51,13
Hours of Practice,18.0,Number of Lessons,7.0,Performance Score (1-100),75.0,51,14
Hours of Practice,22.0,Number of Lessons,9.0,Performance Score (1-100),80.0,51,15
Hours of Practice,28.0,Number of Lessons,10.0,Performance Score (1-100),85.0,51,16
Hours of Practice,6.0,Number of Lessons,2.0,Performance Score (1-100),45.0,51,17
Hours of Practice,10.0,Number of Lessons,3.0,Performance Score (1-100),50.0,51,18
Hours of Practice,30.0,Number of Lessons,12.0,Performance Score (1-100),90.0,51,19
Hours of Practice,35.0,Number of Lessons,13.0,Performance Score (1-100),95.0,51,20
Distance from city center,2.0,Room size,40.0,Apartment price,1200.0,52,1
Distance from city center,3.0,Room size,50.0,Apartment price,1300.0,52,2
Distance from city center,4.0,Room size,60.0,Apartment price,1500.0,52,3
Distance from city center,3.0,Room size,70.0,Apartment price,1600.0,52,4
Distance from city center,1.0,Room size,30.0,Apartment price,1000.0,52,5
Distance from city center,2.0,Room size,40.0,Apartment price,1100.0,52,6
Distance from city center,3.0,Room size,50.0,Apartment price,1400.0,52,7
Distance from city center,4.0,Room size,60.0,Apartment price,1500.0,52,8
Distance from city center,5.0,Room size,70.0,Apartment price,1700.0,52,9
Distance from city center,4.0,Room size,80.0,Apartment price,1800.0,52,10
Distance from city center,2.0,Room size,40.0,Apartment price,1300.0,52,11
Distance from city center,1.0,Room size,50.0,Apartment price,1400.0,52,12
Distance from city center,4.0,Room size,60.0,Apartment price,1600.0,52,13
Distance from city center,5.0,Room size,70.0,Apartment price,1700.0,52,14
Distance from city center,3.0,Room size,50.0,Apartment price,1400.0,52,15
Distance from city center,2.0,Room size,60.0,Apartment price,1500.0,52,16
Distance from city center,2.0,Room size,40.0,Apartment price,1300.0,52,17
Distance from city center,3.0,Room size,50.0,Apartment price,1400.0,52,18
Distance from city center,1.0,Room size,30.0,Apartment price,1100.0,52,19
Distance from city center,2.0,Room size,40.0,Apartment price,1200.0,52,20
Minutes of exercise,30.0,Protein intake,20.0,Muscle gain,1.2,53,1
Minutes of exercise,40.0,Protein intake,15.0,Muscle gain,1.0,53,2
Minutes of exercise,45.0,Protein intake,25.0,Muscle gain,1.5,53,3
Minutes of exercise,35.0,Protein intake,30.0,Muscle gain,1.6,53,4
Minutes of exercise,20.0,Protein intake,10.0,Muscle gain,0.8,53,5
Minutes of exercise,30.0,Protein intake,15.0,Muscle gain,1.2,53,6
Minutes of exercise,50.0,Protein intake,30.0,Muscle gain,1.7,53,7
Minutes of exercise,40.0,Protein intake,25.0,Muscle gain,1.6,53,8
Minutes of exercise,35.0,Protein intake,20.0,Muscle gain,1.3,53,9
Minutes of exercise,45.0,Protein intake,25.0,Muscle gain,1.5,53,10
Minutes of exercise,25.0,Protein intake,15.0,Muscle gain,1.0,53,11
Minutes of exercise,35.0,Protein intake,20.0,Muscle gain,1.3,53,12
