prolific_id,condition_group,source_file,question_number,target,target_value,option1,option2,selected_option,button_pressed,optionA_trial_id,optionA_task_id,optionA_values,optionA_target_value,optionA_value1,optionA_value2,optionB_trial_id,optionB_task_id,optionB_values,optionB_target_value,optionB_value1,optionB_value2
UNKNOWN,direction_B,comp-result_1248930_data.json,1,User satisfaction,,Screen size (inches),RAM (GB),OptionA,F,7,100,"16.0, 5.0",9,16.0,5.0,1,100,"10.0, 2.0",6,10.0,2.0
UNKNOWN,direction_B,comp-result_1248930_data.json,2,Home value,,House size,Neighborhood quality,OptionA,F,13,62,"150.0, 8.0",300000,150.0,8.0,8,62,"110.0, 7.0",260000,110.0,7.0
UNKNOWN,direction_B,comp-result_1248930_data.json,3,Room Area (m²),,Room Length (m),Room Width (m),OptionB,J,3,77,"3.0, 6.0",18,3.0,6.0,4,77,"6.0, 3.0",18,6.0,3.0
UNKNOWN,direction_B,comp-result_1248930_data.json,4,Movie enjoyment,,Movie runtime,Movie rating,OptionB,J,6,65,"100.0, 6.0",5.5,100.0,6.0,7,65,"130.0, 8.0",8.5,130.0,8.0
UNKNOWN,direction_B,comp-result_1248930_data.json,5,Growth Rate,,Plant Leaf Size,Plant Height,OptionB,J,4,58,"10.0, 50.0",3,10.0,50.0,9,58,"12.0, 60.0",4,12.0,60.0
UNKNOWN,direction_B,comp-result_1248930_data.json,6,Recipe difficulty,,Number of ingredients,Prep time (minutes),OptionA,F,5,54,"7.0, 25.0",8,7.0,25.0,3,54,"4.0, 10.0",5,4.0,10.0
UNKNOWN,direction_B,comp-result_1248930_data.json,7,Training Difficulty (1-10),,Dog Size,Dog Energy Level,OptionA,F,20,70,"55.0, 7.0",6,55.0,7.0,5,70,"40.0, 5.0",4,40.0,5.0
UNKNOWN,direction_B,comp-result_1248930_data.json,8,Quality,,Price,Size,OptionA,F,6,93,"100.0, 10.0",70,100.0,10.0,1,93,"100.0, 10.0",70,100.0,10.0
UNKNOWN,direction_B,comp-result_1248930_data.json,9,Engagement rate (%),,Number of followers,Post quality score,OptionA,F,1,63,"10000.0, 7.0",5.5,10000.0,7.0,7,63,"11000.0, 5.0",4.8,11000.0,5.0
UNKNOWN,direction_B,comp-result_1248930_data.json,10,Fun Score,,Number of Players,Game Length (min),OptionB,J,1,85,"4.0, 60.0",7,4.0,60.0,18,85,"7.0, 65.0",8,7.0,65.0
UNKNOWN,direction_B,comp-result_1248930_data.json,11,Jump Height,,Height,Arm Length,OptionA,F,11,97,"180.0, 70.0",80,180.0,70.0,16,97,"180.0, 68.0",78,180.0,68.0
UNKNOWN,direction_B,comp-result_1248930_data.json,12,Recipe Complexity,,Recipe Servings,Recipe Ingredients,OptionB,J,7,90,"3.0, 9.0",6,3.0,9.0,1,90,"4.0, 10.0",7,4.0,10.0
UNKNOWN,direction_B,comp-result_1248930_data.json,13,Plant Growth Rate (cm/week),,Plant Soil Quality (1-10),Plant Water Frequency (times/week),OptionB,J,17,69,"7.0, 3.0",5,7.0,3.0,18,69,"9.0, 5.0",7,9.0,5.0
UNKNOWN,direction_B,comp-result_1248930_data.json,14,Instrument Performance,,Skill Level,Practice Time,OptionA,F,2,87,"6.0, 15.0",8.2,6.0,15.0,3,87,"6.0, 12.0",7.8,6.0,12.0
UNKNOWN,direction_B,comp-result_1248930_data.json,15,Muscle gain,,Minutes of exercise,Protein intake,OptionB,J,2,53,"40.0, 15.0",1,40.0,15.0,4,53,"35.0, 30.0",1.6,35.0,30.0
UNKNOWN,direction_B,comp-result_1248930_data.json,16,Bike Speed,,Bike Weight,Bike Power,OptionB,J,17,75,"26.0, 550.0",110,26.0,550.0,18,75,"28.0, 600.0",120,28.0,600.0
UNKNOWN,direction_B,comp-result_1248930_data.json,17,Exercise Intensity,,Time to Walk (min),Number of Steps,OptionA,F,3,82,"8.0, 800.0",4,8.0,800.0,6,82,"14.0, 1400.0",7,14.0,1400.0
UNKNOWN,direction_B,comp-result_1248930_data.json,18,Natural light,,Room size,Window count,OptionA,F,12,59,"100.0, 3.0",7,100.0,3.0,11,59,"110.0, 2.0",6,110.0,2.0
UNKNOWN,direction_B,comp-result_1248930_data.json,19,Distance Traveled,,Speed,Weight,OptionA,F,5,94,"70.0, 1100.0",315,70.0,1100.0,4,94,"60.0, 1000.0",300,60.0,1000.0
UNKNOWN,direction_B,comp-result_1248930_data.json,20,Comfort,,Shoe Weight,Brand Reputation,OptionB,J,4,56,"200.0, 4.0",70,200.0,4.0,15,56,"170.0, 3.0",65,170.0,3.0
UNKNOWN,direction_B,comp-result_1248930_data.json,21,Product Score,,Price ($),Rating (1-10),OptionA,F,1,84,"50.0, 7.0",60,50.0,7.0,8,84,"60.0, 7.0",66,60.0,7.0
UNKNOWN,direction_B,comp-result_1248930_data.json,22,Dog Energy Lvl,,Dog Size,Exercise Needs,OptionA,F,19,76,"45.0, 9.0",10,45.0,9.0,4,76,"35.0, 8.0",9,35.0,8.0
UNKNOWN,direction_B,comp-result_1248930_data.json,23,Coffee Enjoyment,,Coffee price,Coffee acidity,OptionB,J,4,88,"5.0, 6.0",8,5.0,6.0,7,88,"6.0, 7.0",9,6.0,7.0
UNKNOWN,direction_B,comp-result_1248930_data.json,24,Top Speed,,Engine Size,Horsepower,OptionA,F,2,96,"2.5, 140.0",160,2.5,140.0,1,96,"2.0, 120.0",150,2.0,120.0
UNKNOWN,direction_B,comp-result_1248930_data.json,25,Room Size,,Room Width,Room Length,OptionB,J,18,92,"4.0, 5.0",20,4.0,5.0,17,92,"5.0, 6.0",30,5.0,6.0
UNKNOWN,direction_B,comp-result_1248930_data.json,26,Bike Efficiency,,Bike Weight,Bike Wheel Size,OptionA,F,6,91,"16.0, 28.0",26,16.0,28.0,15,91,"8.0, 25.0",22,8.0,25.0
UNKNOWN,direction_B,comp-result_1248930_data.json,27,Light amount,,Room size (m2),Number of windows,OptionB,J,13,73,"25.0, 3.0",8,25.0,3.0,1,73,"20.0, 3.0",8,20.0,3.0
UNKNOWN,direction_B,comp-result_1248930_data.json,28,Value Score,,Price ($),Size (GB),OptionB,J,12,86,"60.0, 128.0",70,60.0,128.0,2,86,"70.0, 256.0",65,70.0,256.0
UNKNOWN,direction_B,comp-result_1248930_data.json,29,Tea Strength (1-10),,Tea Leaf Quality (1-10),Tea Steeping Time (minutes),OptionA,F,17,68,"7.0, 3.0",6,7.0,3.0,3,68,"6.0, 2.0",5,6.0,2.0
UNKNOWN,direction_B,comp-result_1248930_data.json,30,Physical strength,,Height (cm),Weight (kg),OptionA,F,5,72,"190.0, 85.0",90,190.0,85.0,8,72,"165.0, 50.0",55,165.0,50.0
UNKNOWN,direction_B,comp-result_1248930_data.json,31,Reading time,,Book pages,Book chapters,OptionB,J,1,64,"300.0, 15.0",6,300.0,15.0,14,64,"420.0, 24.0",9,420.0,24.0
UNKNOWN,direction_B,comp-result_1248930_data.json,32,House Price (thousands),,House Size (m²),House Distance to City (km),OptionA,F,16,67,"130.0, 8.0",320,130.0,8.0,10,67,"150.0, 12.0",360,150.0,12.0
UNKNOWN,direction_B,comp-result_1248930_data.json,33,Speed,,Car Engine Size,Horsepower,OptionB,J,11,55,"1.8, 130.0",110,1.8,130.0,9,55,"2.2, 170.0",135,2.2,170.0
UNKNOWN,direction_B,comp-result_1248930_data.json,34,Job Success,,Age,Experience,OptionB,J,1,98,"30.0, 5.0",70,30.0,5.0,4,98,"30.0, 5.0",70,30.0,5.0
