prolific_id,condition_group,source_file,question_number,target,target_value,option1,option2,selected_option,button_pressed,optionA_trial_id,optionA_task_id,optionA_values,optionA_target_value,optionA_value1,optionA_value2,optionB_trial_id,optionB_task_id,optionB_values,optionB_target_value,optionB_value1,optionB_value2
UNKNOWN,ranking_A,comp-result_1248503_data.json,1,Enjoyment (1-10),,Book Thickness (cm),Author Fame (1-10),OptionA,F,7,1,"5.0, 2",6,5.0,2.0,1,1,"3.0, 6",7,3.0,6.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,2,Water Usage (ml/day),,Plant Height,Plant Leaves,OptionB,J,3,39,"25.0, 8.0",180,25.0,8.0,14,39,"39.0, 12.0",165,39.0,12.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,3,Deliciousness,,Cooking Time,Ingredients,OptionA,F,14,34,"40.0, 3",6,40.0,3.0,1,34,"30.0, 5",7,30.0,5.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,4,Coffee Rating,,Coffee Amount,Sugar Amount,OptionA,F,16,13,"3.0, 4",5.5,3.0,4.0,4,13,"3.0, 3",6,3.0,3.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,5,Time to Destination (hours),,Car Speed (mph),Fuel Efficiency (mpg),OptionA,F,17,18,"95.0, 12.0",0.7,95.0,12.0,7,18,"90.0, 15.0",0.8,90.0,15.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,6,Battery life,,Battery capacity,Weight,OptionA,F,4,41,"5000.0, 270",12,5000.0,270.0,16,41,"2000.0, 350",6,2000.0,350.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,7,Car efficiency,,Engine power (in horsepower),Weight (in kg),OptionB,J,7,49,"220.0, 1500",7,220.0,1500.0,10,49,"250.0, 1600",6,250.0,1600.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,8,Cooking Time (minutes),,Number of Ingredients,Prep Time (minutes),OptionA,F,15,16,"9.0, 18.0",12,9.0,18.0,10,16,"9.0, 18.0",12,9.0,18.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,9,Weight loss,,Exercise intensity,Exercise duration,OptionB,J,1,31,"8.0, 30.0",5,8.0,30.0,13,31,"8.0, 40.0",5,8.0,40.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,10,Price,,House Size,Bedrooms,OptionA,F,18,10,"2000.0, 4",390000,2000.0,4.0,16,10,"1800.0, 5",340000,1800.0,5.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,11,Fatigue (1-10),,Exercise Duration (min),Rest Time (min),OptionA,F,1,2,"30.0, 10",4,30.0,10.0,9,2,"35.0, 15",5,35.0,15.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,12,Heart rate,,Age,Exercise hours,OptionA,F,8,43,"60.0, 1",80,60.0,1.0,17,43,"30.0, 6",65,30.0,6.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,13,Comfort (1-10),,Shoe Width (cm),Arch Support (1-10),OptionA,F,15,3,"9.0, 7",8,9.0,7.0,16,3,"8.0, 8",9,8.0,8.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,14,Energy level (1-10),,Hours of sleep,Caffeine intake (mg),OptionA,F,17,27,"8.0, 60",7,8.0,60.0,4,27,"9.0, 30",9,9.0,30.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,15,Shade Area (sq ft),,Tree Height (ft),Tree Diameter (in),OptionA,F,13,19,"55.0, 9.0",160,55.0,9.0,2,19,"30.0, 12.0",90,30.0,12.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,16,House Price,,House Square Feet,House Age,OptionB,J,8,5,"1400.0, 25",250000,1400.0,25.0,6,5,"2200.0, 8",380000,2200.0,8.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,17,Wait Time (minutes),,Restaurant Size,Restaurant Reviews,OptionA,F,17,40,"115.0, 4.6",27,115.0,4.6,3,40,"80.0, 4.3",25,80.0,4.3
UNKNOWN,ranking_A,comp-result_1248503_data.json,18,Bicycle Speed,,Bicycle Weight,Bicycle Price,OptionA,F,1,23,"10.0, 500",25,10.0,500.0,12,23,"22.0, 400",15,22.0,400.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,19,Test Score,,Student Study Time,Student Distractions,OptionB,J,1,38,"2.0, 5.0",75,2.0,5.0,6,38,"4.0, 8.0",68,4.0,8.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,20,Exam points,,Time spent studying (hours),Number of breaks (times),OptionA,F,5,50,"5.0, 0",95,5.0,0.0,4,50,"1.0, 4",60,1.0,4.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,21,Rent (per month),,Distance from center (km),Size (m²),OptionA,F,15,26,"5.0, 60",1200,5.0,60.0,3,26,"3.0, 40",1300,3.0,40.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,22,Energy boost,,Coffee strength,Caffeine content,OptionB,J,14,47,"6.0, 60",60,6.0,60.0,1,47,"4.0, 80",70,4.0,80.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,23,Race Finish Time (minutes),,Runner Speed (mph),Runner Weight (lbs),OptionA,F,4,21,"6.0, 150.0",20,6.0,150.0,16,21,"7.5, 145.0",17.5,7.5,145.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,24,Health index,,Age,Exercise hours,OptionA,F,12,45,"50.0, 1",80,50.0,1.0,11,45,"45.0, 2",85,45.0,2.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,25,Restaurant Rating,,Restaurant Menu Variety,Restaurant Wait Time,OptionB,J,13,7,"10.0, 40",3.2,10.0,40.0,4,7,"50.0, 15",4.2,50.0,15.0
UNKNOWN,ranking_A,comp-result_1248503_data.json,26,Energy Boost (scale 1-10),,Coffee Strength (scale 1-10),Caffeine Content (mg),OptionA,F,2,15,"6.0, 120",6,6.0,120.0,1,15,"8.0, 100",7,8.0,100.0
