prolific_id,condition_group,source_file,question_number,target,target_value,option1,option2,selected_option,button_pressed,optionA_trial_id,optionA_task_id,optionA_values,optionA_target_value,optionA_value1,optionA_value2,optionB_trial_id,optionB_task_id,optionB_values,optionB_target_value,optionB_value1,optionB_value2
UNKNOWN,ranking_B,comp-result_1248667_data.json,1,Nutritional Value,,Weight,Calories,OptionB,J,8,82,"130.0, 130.0",55,130.0,130.0,4,82,"90.0, 110.0",70,90.0,110.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,2,Physical Endurance,,Age,Height,OptionB,J,13,81,"20.0, 160.0",9,20.0,160.0,16,81,"55.0, 175.0",4.5,55.0,175.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,3,Taste Rating,,Number of Ingredients,Prep Time (min),OptionB,J,4,90,"5.0, 25.0",8,5.0,25.0,3,90,"4.0, 15.0",9,4.0,15.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,4,Job Success,,Age,Experience,OptionA,F,5,79,"40.0, 3.0",6,40.0,3.0,6,79,"45.0, 2.0",5.5,45.0,2.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,5,Calories burned,,Exercise time (min),Heart rate (bpm),OptionA,F,5,70,"50.0, 100",350,50.0,100.0,4,70,"35.0, 105",320,35.0,105.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,6,Battery life (hours),,Laptop weight (kg),Screen size (inches),OptionB,J,6,71,"1.5, 13",7,1.5,13.0,19,71,"1.7, 13",7.1,1.7,13.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,7,Garden yield (kg),,Amount of fertilizer (grams),Rainfall (mm/week),OptionA,F,1,54,"200.0, 100",50,200.0,100.0,6,54,"180.0, 130",48,180.0,130.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,8,Post reach (people),,Number of likes (count),Time posted (hours ago),OptionB,J,4,55,"900.0, 5",4500,900.0,5.0,8,55,"1300.0, 1",6500,1300.0,1.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,9,Customer Satisfaction,,Restaurant Wait Time (in mins),Restaurant Rating (1-5),OptionA,F,2,100,"20.0, 3",6,20.0,3.0,6,100,"30.0, 1",4,30.0,1.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,10,Morning Alertness,,Hours of Sleep,Number of Alarms,OptionB,J,1,93,"7.0, 1",8,7.0,1.0,8,93,"8.0, 1",8,8.0,1.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,11,Lighting (lux),,Room size (m2),Number of windows,OptionB,J,14,69,"21.0, 2",620,21.0,2.0,15,69,"16.0, 4",450,16.0,4.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,12,House Value,,House Size,Housing Age,OptionA,F,7,59,"250.0, 10",400,250.0,10.0,13,59,"160.0, 14",280,160.0,14.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,13,Project Success (%),,Experience (years),Team Size,OptionA,F,14,65,"12.0, 7",87,12.0,7.0,7,65,"8.0, 3",95,8.0,3.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,14,Endurance,,Age,Height,OptionB,J,15,73,"45.0, 195.0",75,45.0,195.0,6,73,"45.0, 165.0",75,45.0,165.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,15,Skill Level,,Experience,Years of Education,OptionB,J,18,83,"4.0, 16.0",8,4.0,16.0,1,83,"5.0, 12.0",7,5.0,12.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,16,Travel Time (min),,Distance (km),Speed (km/h),OptionA,F,16,97,"14.0, 70",10,14.0,70.0,1,97,"10.0, 60",10,10.0,60.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,17,Weight Loss (lbs),,Exercise Minutes,Diet Score (1-10),OptionB,J,18,67,"120.0, 7",11,120.0,7.0,11,67,"80.0, 9",7,80.0,9.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,18,Commute time (minutes),,Distance to work (miles),Number of traffic lights,OptionA,F,3,56,"4.0, 12",28,4.0,12.0,5,56,"3.0, 15",25,3.0,15.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,19,100m sprint time (s),,Runner stride length (cm),Runner age (years),OptionA,F,1,88,"80.0, 25",11.5,80.0,25.0,7,88,"70.0, 26",11.9,70.0,26.0
UNKNOWN,ranking_B,comp-result_1248667_data.json,20,Morning alertness (1-10),,Amount of sleep (hours),Time to bed (minutes past 10pm),OptionB,J,10,57,"6.0, 60",4,6.0,60.0,6,57,"8.0, 30",7,8.0,30.0
