Feature_3 name;Feature 1 name;Feature 2 name;condition;corr_1_3;corr_2_3;known_ranking;known_direction
Book Knowledge Content;Book Page Count;Book Reading Level;direction;0.8;0.88;False;True
Dog Activity Level;Dog Size;Dog Exercise Needs;direction;0.95;0.95;False;True
Energy Boost;Coffee Caffeine Content;Coffee Richness;direction;0.5;0.83;False;True
Photo Quality;Phone Price;Phone Camera Megapixels;direction;0.85;0.97;False;True
Distance Covered;Bike Speed;Bike Weight;direction;0.83;0.99;False;True
Durability Perception (1-10);Price ($);Warranty (years);direction;0.38;0.92;False;True
Home Comfort (1-10);Number of Bedrooms;Square Feet;direction;0.52;0.84;False;True
Enjoyment Rating (1-10);Number of Pages;Reading Time (minutes);direction;0.33;0.44;False;True
Exam Score;Hours of Study;Difficulty Level;direction;0.87;0.91;False;True
Fun Level;Number of Players;Game Duration (minutes);direction;0.71;0.86;False;True
Taste Rating;Number of Ingredients;Cooking Time (minutes);direction;0.72;0.86;False;True
Natural Light (on scale 1-10);Room Area (m2);Number of Windows;direction;0.33;1.0;False;True
Satiety (on scale 1-10);Number of Calories;Protein (g);direction;0.88;0.97;False;True
Performance Quality (on scale 1-10);Hours of Practice;Musical Experience (years);direction;0.44;0.88;False;True
Restaurant Popularity (on scale 1-10);Number of Reviews;Average Rating (out of 5);direction;0.62;0.91;False;True
Fat Burn (in grams);Exercise Time (minutes);Heart Rate (bpm);direction;0.82;0.95;False;True
Social Engagement (on scale 1-10);Number of Friends;Average Message Frequency;direction;0.07;1.0;False;True
Book Rating;Book Page Count;Author Rating;direction;0.12;0.82;False;True
House Demand;House Size sqft;House Location Rating;direction;0.56;0.77;False;True
Restaurant Customer Satisfaction;Restaurant Menu Size;Restaurant Online Rating;direction;0.3;0.63;False;True
Enjoyment;Taste rating;Price;direction;0.91;0.91;False;True
Deliciousness;Cooking time;Ingredients count;direction;0.05;0.69;False;True
Fat Burn (g);Exercise Time (min);Heart Rate (bpm);direction;0.86;0.97;False;True
Enjoyment Score;Book Length (pages);Author Fame (1-10);direction;0.75;0.99;False;True
Battery Life (hours);Phone Weight (g);Battery Capacity (mAh);direction;0.58;0.98;False;True
Warmth Rating;Shirt Weight (g);Fabric Thickness (mm);direction;0.92;0.99;False;True
Age (years);Tree Height (m);Trunk Diameter (cm);direction;0.97;0.99;False;True
Fuel Consumption (L);Flight Duration (hours);Distance (km);direction;1.0;1.0;False;True
Performance Rating;Computer Weight (kg);RAM (GB);direction;0.94;0.99;False;True
Light Level;Room Size (sq ft);Number of Windows;direction;0.6;0.92;False;True
Doneness;Cooking Time;Size;direction;0.98;0.99;False;True
Brightness;Phone Battery Capacity;Screen Size;direction;0.49;0.85;False;True
House Price;House Size;Neighborhood Rating;direction;0.79;0.92;False;True
Phone Performance Score;Phone RAM (GB);Battery Capacity (mAh);direction;0.93;0.94;False;True
Exam Grade;Student Study Time (hours);Class Attendance (%);direction;0.31;0.66;False;True
Home Value (thousands);House Size (sqm);Neighborhood Safety (1-10);direction;0.56;0.69;False;True
App Popularity;App User Ratings (1-5);Number of Reviews;direction;0.56;0.71;False;True
Fuel Consumption (L/100km);Speed (km/h);Weight (kg);direction;0.91;0.98;False;True
Comfort Score;Price ($);Size (sqft);direction;0.69;0.94;False;True
Energy Level;Hours of Sleep;Caffeine Intake (mg);direction;0.86;0.96;False;True
Fitness Level;Exercise Time (min/day);Healthy Diet (%);direction;0.53;0.81;False;True
Speed (km/h);Engine Horsepower;Weight (kg);direction;0.97;0.97;False;True
Cooking Time (min);Number of Ingredients;Prep Time (min);direction;0.98;0.99;False;True
Customer Satisfaction;Price ($);Quality Rating (1-10);direction;0.93;0.96;False;True
Popularity Score;Number of Likes;Number of Comments;direction;1.0;1.0;False;True
Weight Loss;Problem 4: Calories;Exercise Time;direction;0.33;0.75;False;True
User Satisfaction;Problem 5: Screen Size;Battery Life;direction;0.25;0.97;False;True
Natural Light;Problem 6: Room Size;Number of Windows;direction;0.88;0.93;False;True
Battery Life;Phone Weight;Battery Capacity;direction;0.8;0.99;False;True
Tea Taste;Leaf Strength;Flavor Variety;direction;0.45;0.7;False;True
