Feature 1 name;Feature 1 value;Feature 2 name;Feature 2 value;Target name;Target value
Car Engine Size;2.0;Car Weight;1400.0;Car Speed;120.0
Car Engine Size;1.8;Car Weight;1500.0;Car Speed;110.0
Car Engine Size;3.0;Car Weight;1600.0;Car Speed;140.0
Car Engine Size;2.5;Car Weight;1800.0;Car Speed;130.0
Car Engine Size;2.5;Car Weight;1300.0;Car Speed;135.0
Car Engine Size;2.2;Car Weight;1400.0;Car Speed;125.0
Car Engine Size;1.6;Car Weight;1200.0;Car Speed;100.0
Car Engine Size;1.8;Car Weight;1300.0;Car Speed;105.0
Car Engine Size;2.4;Car Weight;1500.0;Car Speed;130.0
Car Engine Size;2.0;Car Weight;1600.0;Car Speed;120.0
Car Engine Size;3.5;Car Weight;1700.0;Car Speed;150.0
Car Engine Size;3.2;Car Weight;1800.0;Car Speed;145.0
Car Engine Size;2.8;Car Weight;1400.0;Car Speed;138.0
Car Engine Size;2.6;Car Weight;1500.0;Car Speed;135.0
Car Engine Size;1.8;Car Weight;1350.0;Car Speed;110.0
Car Engine Size;2.0;Car Weight;1400.0;Car Speed;115.0
Car Engine Size;2.2;Car Weight;1250.0;Car Speed;120.0
Car Engine Size;2.0;Car Weight;1300.0;Car Speed;115.0
Car Engine Size;3.0;Car Weight;1550.0;Car Speed;145.0
Car Engine Size;2.8;Car Weight;1600.0;Car Speed;140.0
Book Page Count;300.0;Book Reading Level;3.0;Book Knowledge Content;7.0
Book Page Count;250.0;Book Reading Level;4.0;Book Knowledge Content;6.0
Book Page Count;400.0;Book Reading Level;5.0;Book Knowledge Content;9.0
Book Page Count;350.0;Book Reading Level;6.0;Book Knowledge Content;8.0
Book Page Count;200.0;Book Reading Level;2.0;Book Knowledge Content;5.0
Book Page Count;220.0;Book Reading Level;3.0;Book Knowledge Content;6.0
Book Page Count;500.0;Book Reading Level;4.0;Book Knowledge Content;8.0
Book Page Count;480.0;Book Reading Level;5.0;Book Knowledge Content;9.0
Book Page Count;350.0;Book Reading Level;3.0;Book Knowledge Content;6.0
Book Page Count;330.0;Book Reading Level;4.0;Book Knowledge Content;7.0
Book Page Count;280.0;Book Reading Level;2.0;Book Knowledge Content;4.0
Book Page Count;300.0;Book Reading Level;3.0;Book Knowledge Content;5.0
Book Page Count;450.0;Book Reading Level;5.0;Book Knowledge Content;10.0
Book Page Count;420.0;Book Reading Level;6.0;Book Knowledge Content;9.0
Book Page Count;220.0;Book Reading Level;3.0;Book Knowledge Content;5.0
Book Page Count;240.0;Book Reading Level;4.0;Book Knowledge Content;6.0
Book Page Count;380.0;Book Reading Level;4.0;Book Knowledge Content;8.0
Book Page Count;360.0;Book Reading Level;5.0;Book Knowledge Content;9.0
Book Page Count;270.0;Book Reading Level;2.0;Book Knowledge Content;4.0
Book Page Count;290.0;Book Reading Level;3.0;Book Knowledge Content;5.0
Phone Camera Megapixels;12.0;Phone Battery Capacity;3000.0;Phone Photo Quality;8.0
Phone Camera Megapixels;16.0;Phone Battery Capacity;2800.0;Phone Photo Quality;9.0
Phone Camera Megapixels;20.0;Phone Battery Capacity;4000.0;Phone Photo Quality;9.0
Phone Camera Megapixels;18.0;Phone Battery Capacity;4200.0;Phone Photo Quality;9.0
