Feature 1 name,Feature 1 value,Feature 2 name,Feature 2 value,Target name,Target value,task_id,trial_id
Book Thickness (cm),3.0,Author Fame (1-10),6,Enjoyment (1-10),7.0,1,1
Book Thickness (cm),5.0,Author Fame (1-10),8,Enjoyment (1-10),6.0,1,2
Book Thickness (cm),2.0,Author Fame (1-10),9,Enjoyment (1-10),5.0,1,3
Book Thickness (cm),4.0,Author Fame (1-10),7,Enjoyment (1-10),6.0,1,4
Book Thickness (cm),6.0,Author Fame (1-10),3,Enjoyment (1-10),8.0,1,5
Book Thickness (cm),4.0,Author Fame (1-10),5,Enjoyment (1-10),7.0,1,6
Book Thickness (cm),5.0,Author Fame (1-10),2,Enjoyment (1-10),6.0,1,7
Book Thickness (cm),3.0,Author Fame (1-10),4,Enjoyment (1-10),5.0,1,8
Book Thickness (cm),7.0,Author Fame (1-10),4,Enjoyment (1-10),9.0,1,9
Book Thickness (cm),5.0,Author Fame (1-10),6,Enjoyment (1-10),8.0,1,10
Book Thickness (cm),4.0,Author Fame (1-10),5,Enjoyment (1-10),6.0,1,11
Book Thickness (cm),6.0,Author Fame (1-10),3,Enjoyment (1-10),7.0,1,12
Book Thickness (cm),3.0,Author Fame (1-10),7,Enjoyment (1-10),5.0,1,13
Book Thickness (cm),5.0,Author Fame (1-10),5,Enjoyment (1-10),6.0,1,14
Book Thickness (cm),6.0,Author Fame (1-10),2,Enjoyment (1-10),7.0,1,15
Book Thickness (cm),4.0,Author Fame (1-10),4,Enjoyment (1-10),6.0,1,16
Book Thickness (cm),5.0,Author Fame (1-10),8,Enjoyment (1-10),6.0,1,17
Book Thickness (cm),7.0,Author Fame (1-10),6,Enjoyment (1-10),5.0,1,18
Book Thickness (cm),4.0,Author Fame (1-10),3,Enjoyment (1-10),5.0,1,19
Book Thickness (cm),6.0,Author Fame (1-10),5,Enjoyment (1-10),6.0,1,20
Exercise Duration (min),30.0,Rest Time (min),10,Fatigue (1-10),4.0,2,1
Exercise Duration (min),20.0,Rest Time (min),15,Fatigue (1-10),3.0,2,2
Exercise Duration (min),40.0,Rest Time (min),5,Fatigue (1-10),6.0,2,3
Exercise Duration (min),30.0,Rest Time (min),10,Fatigue (1-10),4.0,2,4
Exercise Duration (min),25.0,Rest Time (min),20,Fatigue (1-10),3.0,2,5
Exercise Duration (min),35.0,Rest Time (min),5,Fatigue (1-10),5.0,2,6
Exercise Duration (min),50.0,Rest Time (min),10,Fatigue (1-10),7.0,2,7
Exercise Duration (min),40.0,Rest Time (min),15,Fatigue (1-10),6.0,2,8
Exercise Duration (min),35.0,Rest Time (min),15,Fatigue (1-10),5.0,2,9
Exercise Duration (min),25.0,Rest Time (min),10,Fatigue (1-10),4.0,2,10
Exercise Duration (min),20.0,Rest Time (min),5,Fatigue (1-10),3.0,2,11
Exercise Duration (min),30.0,Rest Time (min),20,Fatigue (1-10),2.0,2,12
Exercise Duration (min),45.0,Rest Time (min),10,Fatigue (1-10),6.0,2,13
Exercise Duration (min),55.0,Rest Time (min),15,Fatigue (1-10),7.0,2,14
Exercise Duration (min),30.0,Rest Time (min),20,Fatigue (1-10),4.0,2,15
Exercise Duration (min),40.0,Rest Time (min),10,Fatigue (1-10),5.0,2,16
Exercise Duration (min),55.0,Rest Time (min),5,Fatigue (1-10),8.0,2,17
Exercise Duration (min),45.0,Rest Time (min),15,Fatigue (1-10),7.0,2,18
Exercise Duration (min),40.0,Rest Time (min),20,Fatigue (1-10),5.0,2,19
Exercise Duration (min),30.0,Rest Time (min),10,Fatigue (1-10),4.0,2,20
Phone Battery (mAh),3000.0,Screen Brightness (%),70,Battery Life (hours),8.0,3,1
Phone Battery (mAh),4000.0,Screen Brightness (%),60,Battery Life (hours),10.0,3,2
Phone Battery (mAh),4000.0,Screen Brightness (%),60,Battery Life (hours),10.0,3,3
Phone Battery (mAh),3000.0,Screen Brightness (%),70,Battery Life (hours),8.0,3,4
Phone Battery (mAh),2500.0,Screen Brightness (%),80,Battery Life (hours),6.0,3,5
Phone Battery (mAh),3500.0,Screen Brightness (%),70,Battery Life (hours),8.0,3,6
Phone Battery (mAh),3500.0,Screen Brightness (%),70,Battery Life (hours),9.0,3,7
Phone Battery (mAh),4500.0,Screen Brightness (%),60,Battery Life (hours),11.0,3,8
Phone Battery (mAh),4000.0,Screen Brightness (%),80,Battery Life (hours),9.0,3,9
Phone Battery (mAh),3000.0,Screen Brightness (%),70,Battery Life (hours),8.0,3,10
Phone Battery (mAh),2000.0,Screen Brightness (%),70,Battery Life (hours),5.0,3,11
Phone Battery (mAh),3000.0,Screen Brightness (%),60,Battery Life (hours),7.0,3,12
Phone Battery (mAh),3500.0,Screen Brightness (%),60,Battery Life (hours),9.0,3,13
Phone Battery (mAh),4500.0,Screen Brightness (%),70,Battery Life (hours),10.0,3,14
Phone Battery (mAh),4500.0,Screen Brightness (%),70,Battery Life (hours),10.0,3,15
Phone Battery (mAh),3500.0,Screen Brightness (%),60,Battery Life (hours),9.0,3,16
