Feature 1 name;Feature 1 value;Feature 2 name;Feature 2 value;Target name;Target value
Book Thickness (cm);3.0;Author Fame (1-10);6;Enjoyment (1-10);7.0
Book Thickness (cm);5.0;Author Fame (1-10);8;Enjoyment (1-10);6.0
Book Thickness (cm);2.0;Author Fame (1-10);9;Enjoyment (1-10);5.0
Book Thickness (cm);4.0;Author Fame (1-10);7;Enjoyment (1-10);6.0
Book Thickness (cm);6.0;Author Fame (1-10);3;Enjoyment (1-10);8.0
Book Thickness (cm);4.0;Author Fame (1-10);5;Enjoyment (1-10);7.0
Book Thickness (cm);5.0;Author Fame (1-10);2;Enjoyment (1-10);6.0
Book Thickness (cm);3.0;Author Fame (1-10);4;Enjoyment (1-10);5.0
Book Thickness (cm);7.0;Author Fame (1-10);4;Enjoyment (1-10);9.0
Book Thickness (cm);5.0;Author Fame (1-10);6;Enjoyment (1-10);8.0
Book Thickness (cm);4.0;Author Fame (1-10);5;Enjoyment (1-10);6.0
Book Thickness (cm);6.0;Author Fame (1-10);3;Enjoyment (1-10);7.0
Book Thickness (cm);3.0;Author Fame (1-10);7;Enjoyment (1-10);5.0
Book Thickness (cm);5.0;Author Fame (1-10);5;Enjoyment (1-10);6.0
Book Thickness (cm);6.0;Author Fame (1-10);2;Enjoyment (1-10);7.0
Book Thickness (cm);4.0;Author Fame (1-10);4;Enjoyment (1-10);6.0
Book Thickness (cm);5.0;Author Fame (1-10);8;Enjoyment (1-10);6.0
Book Thickness (cm);7.0;Author Fame (1-10);6;Enjoyment (1-10);5.0
Book Thickness (cm);4.0;Author Fame (1-10);3;Enjoyment (1-10);5.0
Book Thickness (cm);6.0;Author Fame (1-10);5;Enjoyment (1-10);6.0
Exercise Duration (min);30.0;Rest Time (min);10;Fatigue (1-10);4.0
Exercise Duration (min);20.0;Rest Time (min);15;Fatigue (1-10);3.0
Exercise Duration (min);40.0;Rest Time (min);5;Fatigue (1-10);6.0
Exercise Duration (min);30.0;Rest Time (min);10;Fatigue (1-10);4.0
Exercise Duration (min);25.0;Rest Time (min);20;Fatigue (1-10);3.0
Exercise Duration (min);35.0;Rest Time (min);5;Fatigue (1-10);5.0
Exercise Duration (min);50.0;Rest Time (min);10;Fatigue (1-10);7.0
Exercise Duration (min);40.0;Rest Time (min);15;Fatigue (1-10);6.0
Exercise Duration (min);35.0;Rest Time (min);15;Fatigue (1-10);5.0
Exercise Duration (min);25.0;Rest Time (min);10;Fatigue (1-10);4.0
Exercise Duration (min);20.0;Rest Time (min);5;Fatigue (1-10);3.0
Exercise Duration (min);30.0;Rest Time (min);20;Fatigue (1-10);2.0
Exercise Duration (min);45.0;Rest Time (min);10;Fatigue (1-10);6.0
Exercise Duration (min);55.0;Rest Time (min);15;Fatigue (1-10);7.0
Exercise Duration (min);30.0;Rest Time (min);20;Fatigue (1-10);4.0
Exercise Duration (min);40.0;Rest Time (min);10;Fatigue (1-10);5.0
Exercise Duration (min);55.0;Rest Time (min);5;Fatigue (1-10);8.0
Exercise Duration (min);45.0;Rest Time (min);15;Fatigue (1-10);7.0
Exercise Duration (min);40.0;Rest Time (min);20;Fatigue (1-10);5.0
Exercise Duration (min);30.0;Rest Time (min);10;Fatigue (1-10);4.0
Car Weight (kg);1200.0;Engine Power (hp);100;Fuel Efficiency (km/L);15.0
Car Weight (kg);1400.0;Engine Power (hp);120;Fuel Efficiency (km/L);13.0
Car Weight (kg);1300.0;Engine Power (hp);90;Fuel Efficiency (km/L);14.0
Car Weight (kg);1100.0;Engine Power (hp);110;Fuel Efficiency (km/L);16.0
Car Weight (kg);1500.0;Engine Power (hp);150;Fuel Efficiency (km/L);11.0
Car Weight (kg);1200.0;Engine Power (hp);140;Fuel Efficiency (km/L);13.0
Car Weight (kg);1100.0;Engine Power (hp);110;Fuel Efficiency (km/L);16.0
Car Weight (kg);1300.0;Engine Power (hp);130;Fuel Efficiency (km/L);14.0
Car Weight (kg);1400.0;Engine Power (hp);130;Fuel Efficiency (km/L);12.0
Car Weight (kg);1200.0;Engine Power (hp);120;Fuel Efficiency (km/L);14.0
Car Weight (kg);1600.0;Engine Power (hp);160;Fuel Efficiency (km/L);10.0
Car Weight (kg);1300.0;Engine Power (hp);150;Fuel Efficiency (km/L);12.0
Car Weight (kg);1200.0;Engine Power (hp);140;Fuel Efficiency (km/L);13.0
Car Weight (kg);1400.0;Engine Power (hp);160;Fuel Efficiency (km/L);11.0
Car Weight (kg);1300.0;Engine Power (hp);120;Fuel Efficiency (km/L);14.0
Car Weight (kg);1100.0;Engine Power (hp);110;Fuel Efficiency (km/L);16.0
Car Weight (kg);1500.0;Engine Power (hp);140;Fuel Efficiency (km/L);12.0
Car Weight (kg);1200.0;Engine Power (hp);130;Fuel Efficiency (km/L);14.0
Car Weight (kg);1400.0;Engine Power (hp);150;Fuel Efficiency (km/L);11.0
Car Weight (kg);1600.0;Engine Power (hp);170;Fuel Efficiency (km/L);9.0
Recipe Servings;4.0;Spice Level (1-10);7;Taste (1-10);8.0
Recipe Servings;6.0;Spice Level (1-10);5;Taste (1-10);7.0
Recipe Servings;6.0;Spice Level (1-10);9;Taste (1-10);7.0
Recipe Servings;4.0;Spice Level (1-10);6;Taste (1-10);8.0
Recipe Servings;3.0;Spice Level (1-10);5;Taste (1-10);6.0
Recipe Servings;5.0;Spice Level (1-10);7;Taste (1-10);7.0
Recipe Servings;5.0;Spice Level (1-10);8;Taste (1-10);7.0
Recipe Servings;7.0;Spice Level (1-10);6;Taste (1-10);6.0
Recipe Servings;7.0;Spice Level (1-10);6;Taste (1-10);8.0
Recipe Servings;5.0;Spice Level (1-10);8;Taste (1-10);7.0
Recipe Servings;4.0;Spice Level (1-10);4;Taste (1-10);6.0
Recipe Servings;6.0;Spice Level (1-10);6;Taste (1-10);7.0
Recipe Servings;6.0;Spice Level (1-10);7;Taste (1-10);7.0
Recipe Servings;4.0;Spice Level (1-10);5;Taste (1-10);8.0
Recipe Servings;5.0;Spice Level (1-10);9;Taste (1-10);6.0
Recipe Servings;7.0;Spice Level (1-10);7;Taste (1-10);5.0
Recipe Servings;3.0;Spice Level (1-10);6;Taste (1-10);5.0
Recipe Servings;5.0;Spice Level (1-10);8;Taste (1-10);6.0
Recipe Servings;4.0;Spice Level (1-10);5;Taste (1-10);6.0
Recipe Servings;6.0;Spice Level (1-10);7;Taste (1-10);7.0
Coffee Bean Weight (g);20.0;Brew Time (min);3;Strength (1-10);6.0
Coffee Bean Weight (g);25.0;Brew Time (min);4;Strength (1-10);7.0
Coffee Bean Weight (g);25.0;Brew Time (min);2;Strength (1-10);7.0
Coffee Bean Weight (g);20.0;Brew Time (min);3;Strength (1-10);6.0
Coffee Bean Weight (g);15.0;Brew Time (min);4;Strength (1-10);5.0
Coffee Bean Weight (g);20.0;Brew Time (min);5;Strength (1-10);6.0
Coffee Bean Weight (g);30.0;Brew Time (min);3;Strength (1-10);8.0
Coffee Bean Weight (g);25.0;Brew Time (min);4;Strength (1-10);7.0
Coffee Bean Weight (g);20.0;Brew Time (min);5;Strength (1-10);6.0
Coffee Bean Weight (g);25.0;Brew Time (min);6;Strength (1-10);7.0
Coffee Bean Weight (g);15.0;Brew Time (min);3;Strength (1-10);5.0
Coffee Bean Weight (g);20.0;Brew Time (min);4;Strength (1-10);6.0
Coffee Bean Weight (g);25.0;Brew Time (min);5;Strength (1-10);7.0
Coffee Bean Weight (g);30.0;Brew Time (min);6;Strength (1-10);8.0
Coffee Bean Weight (g);30.0;Brew Time (min);4;Strength (1-10);8.0
Coffee Bean Weight (g);25.0;Brew Time (min);5;Strength (1-10);7.0
Coffee Bean Weight (g);20.0;Brew Time (min);4;Strength (1-10);6.0
Coffee Bean Weight (g);25.0;Brew Time (min);5;Strength (1-10);7.0
Coffee Bean Weight (g);25.0;Brew Time (min);6;Strength (1-10);7.0
Coffee Bean Weight (g);30.0;Brew Time (min);7;Strength (1-10);8.0
Plant Height (cm);30.0;Sunlight (hours/day);6;Growth Rate (cm/week);5.0
Plant Height (cm);40.0;Sunlight (hours/day);5;Growth Rate (cm/week);6.0
Plant Height (cm);40.0;Sunlight (hours/day);5;Growth Rate (cm/week);6.0
Plant Height (cm);30.0;Sunlight (hours/day);6;Growth Rate (cm/week);5.0
Plant Height (cm);20.0;Sunlight (hours/day);7;Growth Rate (cm/week);4.0
Plant Height (cm);30.0;Sunlight (hours/day);6;Growth Rate (cm/week);5.0
Plant Height (cm);50.0;Sunlight (hours/day);4;Growth Rate (cm/week);7.0
Plant Height (cm);40.0;Sunlight (hours/day);5;Growth Rate (cm/week);6.0
Plant Height (cm);30.0;Sunlight (hours/day);8;Growth Rate (cm/week);5.0
Plant Height (cm);40.0;Sunlight (hours/day);7;Growth Rate (cm/week);6.0
Plant Height (cm);25.0;Sunlight (hours/day);6;Growth Rate (cm/week);4.0
Plant Height (cm);35.0;Sunlight (hours/day);5;Growth Rate (cm/week);5.0
Plant Height (cm);40.0;Sunlight (hours/day);7;Growth Rate (cm/week);6.0
Plant Height (cm);30.0;Sunlight (hours/day);6;Growth Rate (cm/week);5.0
Plant Height (cm);35.0;Sunlight (hours/day);5;Growth Rate (cm/week);5.0
Plant Height (cm);45.0;Sunlight (hours/day);6;Growth Rate (cm/week);6.0
Plant Height (cm);20.0;Sunlight (hours/day);5;Growth Rate (cm/week);3.0
Plant Height (cm);30.0;Sunlight (hours/day);6;Growth Rate (cm/week);4.0
Plant Height (cm);30.0;Sunlight (hours/day);4;Growth Rate (cm/week);4.0
